human.symbol	rat.symbol	mouse.symbol	human.go.annotation	mouse.go.annotation	rat.go.annotation
ABHD6	Abhd6	Abhd6		long term synaptic depression	
ABLIM1	Ablim1	Ablim1		neuronal postsynaptic density	
ACHE	Ache	Ache	synapse	neuromuscular junction; synapse; neurotransmitter receptor biosynthetic process	synapse assembly; presynaptic membrane; synapse; postsynaptic membrane
ADAM10	Adam10	Adam10		postsynaptic density	
ADD2	Add2	Add2		neuronal postsynaptic density	
ADD3	Add3	Add3		neuronal postsynaptic density	
ADORA1	Adora1	Adora1		synapse; regulation of excitatory postsynaptic membrane potential	postsynaptic density; negative regulation of synaptic transmission, GABAergic; negative regulation of synaptic transmission, GABAergic; asymmetric synapse; presynaptic membrane; terminal bouton; postsynaptic membrane; regulation of synaptic plasticity; presynaptic active zone; negative regulation of synaptic transmission, glutamatergic; regulation of excitatory postsynaptic membrane potential
ADORA2A	Adora2a	Adora2a		synaptic transmission, dopaminergic; positive regulation of synaptic transmission, GABAergic; positive regulation of synaptic transmission, GABAergic; regulation of inhibitory postsynaptic membrane potential	synaptic transmission, cholinergic; positive regulation of acetylcholine secretion, neurotransmission; postsynaptic density; asymmetric synapse; synaptic transmission, glutamatergic; presynaptic membrane; postsynaptic membrane; regulation of synaptic plasticity; presynaptic active zone; positive regulation of synaptic transmission, glutamatergic; regulation of excitatory postsynaptic membrane potential
AGRN	Agrn	Agrn		synaptic transmission; regulation of synaptic growth at neuromuscular junction; synapse; neurotransmitter receptor metabolic process; positive regulation of synaptic growth at neuromuscular junction	synaptic transmission; synapse assembly; synapse
ALS2	Als2	Als2		postsynaptic density; synaptic transmission, glutamatergic	
AMPH	Amph	Amph		synaptic vesicle; synaptic vesicle endocytosis	terminal bouton
AMPH	LOC100910792	Amph		synaptic vesicle; synaptic vesicle endocytosis	
ANAPC2	Anapc2	Anapc2		positive regulation of synaptic plasticity; positive regulation of synapse maturation	
ANK3	Ank3	Ank3		synapse	neuromuscular junction; postsynaptic membrane
AP3B1		Ap3b1		anterograde synaptic vesicle transport	synaptic vesicle membrane
AP3B2	Ap3b2	Ap3b2		anterograde synaptic vesicle transport	
AP3D1	Ap3d1	Ap3d1		terminal bouton; anterograde synaptic vesicle transport	
AP3M1	Ap3m1	Ap3m1		anterograde synaptic vesicle transport	
AP3M2	Ap3m2	Ap3m2		anterograde synaptic vesicle transport	
AP3S1	Ap3s1	Ap3s1		anterograde synaptic vesicle transport	
AP3S2	Ap3s2	Ap3s2		anterograde synaptic vesicle transport	
APBA1	Apba1	Apba1		synaptic transmission; synaptic transmission	
APBA2	Apba2	Apba2		synaptic transmission	
APBA3	Apba3	Apba3		synaptic transmission	
APP	App	App	synapse	neuromuscular junction; synaptic growth at neuromuscular junction	synaptic vesicle; terminal bouton
ARFGAP1	Arfgap1	Arfgap1		synapse; neuronal postsynaptic density	
ARHGEF15	Arhgef15	Arhgef15		negative regulation of synapse maturation	
ARHGEF2	Arhgef2	Arhgef2		neuronal postsynaptic density	
ARR3	Arr3	Arr3		synapse	
ARRB2	Arrb2	Arrb2		positive regulation of synaptic transmission, dopaminergic	postsynaptic density; postsynaptic membrane
ASIC1	Asic1	Asic1		synapse; negative regulation of neurotransmitter secretion	
ASIC2	Asic2	Asic2		synapse; positive regulation of synapse assembly	
ATAD1	Atad1	Atad1		postsynaptic membrane; negative regulation of synaptic transmission, glutamatergic	
ATP1A1	Atp1a1	Atp1a1		neuronal postsynaptic density	
ATP2A2	Atp2a2	Atp2a2		regulation of calcium ion-dependent exocytosis of neurotransmitter	
ATP2B2	Atp2b2	Atp2b2		regulation of synaptic plasticity	
ATP6V1G1	Atp6v1g1	Atp6v1g1		synaptic vesicle	
ATP6V1G2	Atp6v1g2	Atp6v1g2		integral component of synaptic vesicle membrane	
ATXN1	Atxn1	Atxn1		regulation of excitatory postsynaptic membrane potential	
BAIAP2	Baiap2	Baiap2		regulation of synaptic plasticity	
BDNF	Bdnf	Bdnf	positive regulation of synapse assembly	negative regulation of synaptic transmission, GABAergic; regulation of synaptic plasticity; regulation of inhibitory postsynaptic membrane potential	synaptic vesicle; terminal bouton; regulation of long-term neuronal synaptic plasticity; positive regulation of long-term neuronal synaptic plasticity; regulation of short-term neuronal synaptic plasticity; regulation of excitatory postsynaptic membrane potential
BHLHB9	Bhlhb9	Bhlhb9		positive regulation of synapse assembly	
BLOC1S1	Bloc1s1	Bloc1s1		anterograde synaptic vesicle transport	
BLOC1S2	Bloc1s2	Bloc1s2		anterograde synaptic vesicle transport	
BLOC1S3	Bloc1s3	Bloc1s3		anterograde synaptic vesicle transport	
BLOC1S4	Bloc1s4	Bloc1s4		anterograde synaptic vesicle transport	
BLOC1S5	Bloc1s5	Bloc1s5		anterograde synaptic vesicle transport	
BLOC1S6	Bloc1s6	Bloc1s6		anterograde synaptic vesicle transport	
BMPR2	Bmpr2	Bmpr2		neuronal postsynaptic density	
BNIP3	Bnip3	Bnip3		neuronal postsynaptic density	
BRAF	Braf	Braf		long-term synaptic potentiation; negative regulation of synaptic vesicle exocytosis	
